id	audio	n_frames	tgt_text	speaker	tgt_lang
ted_1_1	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:4542638:129193	121280	Saímos da I-40 e começámos a procurar... encontrámos um restaurante Shoney 's. - uma rede de restaurantes familiares económicos, para quem não conhece.	spk.1	pt
ted_1_2	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:11300421:151018	133440	Entrámos, sentámo-nos numa mesa e veio uma empregada, que ficou encantada quando viu Tipper. (Risos) Ela anotou o nosso pedido e foi atender um casal numa mesa próxima.	spk.1	pt
ted_1_3	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:9203991:130740	119040	Baixou tanto a voz que tive de fazer um grande esforço para perceber o que ela disse: "Sim, é o ex-vice-presidente Al Gore e a sua esposa Tipper."	spk.1	pt
ted_1_4	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:8448995:124302	124640	E o homem disse: "Ele deu um grande tombo na vida, não foi?" (Risos)	spk.1	pt
ted_1_5	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:7975705:235297	187359	Tenho tido uma série de epifanias destas.	spk.1	pt
ted_1_6	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:11084732:215647	199040	No dia seguinte, continuando uma história realmente verdadeira, entrei num G-5 para África para fazer uma palestra na Nigéria, na cidade de Lagos, sobre o tema da energia.	spk.1	pt
ted_1_7	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:4692699:105303	98080	E comecei a palestra por contar a história do que tinha acontecido no dia anterior em Nashville.	spk.1	pt
ted_1_8	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:16219356:151768	137600	Contei-lhes praticamente a mesma história que acabei de vos contar. Nós no carro a conduzir, o Shoney 's, a rede de restaurantes económicos, o que o homem disse - e eles riram-se.	spk.1	pt
ted_1_9	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:16497574:59744	55839	Fiz a palestra, voltei para o aeroporto para apanhar o avião para casa.	spk.1	pt
ted_1_10	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:1268257:107356	100000	Adormeci no avião até que, a meio da noite, aterrámos nos Açores para reabastecer.	spk.1	pt
ted_1_11	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:16769917:94308	90240	Acordei, abriram a porta, saí para apanhar um pouco de ar fresco, e, de repente, vi um homem a correr na pista.	spk.1	pt
ted_1_12	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:10500169:79897	71680	Agitava um pedaço de papel e gritava: "Telefone para Washington!	spk.1	pt
ted_1_13	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:1456615:109149	108320	Telefone para Washington! "E pensei, a meio da noite, aqui no meio do Atlântico, o que poderia estar a acontecer em Washington?	spk.1	pt
ted_1_14	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:14581126:38325	38400	Lembrei-me de um bom punhado de coisas. (Risos)	spk.1	pt
ted_1_16	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:16885936:301874	271519	A minha equipa estava muito preocupada porque uma agência nigeriana já tinha publicado a notícia do meu discurso. E já estava impressa em cidades por todos os Estados Unidos da América.	spk.1	pt
ted_1_18	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:9386764:261694	229280	A notícia começava assim "O ex-vice-presidente Al Gore anunciou ontem na Nigéria:" 'Eu e a minha esposa Tipper abrimos um restaurante familiar económico... (Risos) "'... chamado Shoney 's, e estamos nós próprios a geri-lo'." (Risos) Antes de chegar a solo americano David Letterman e Jay Leno já tinham iniciado a brincadeira.	spk.1	pt
ted_1_19	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:4882523:505110	424159	Um deles colocou-me um enorme chapéu branco de cozinheiro, enquanto Tipper dizia: "Mais um hambúrguer com batatas fritas!" Três dias depois, recebi uma deliciosa carta de um meu amigo, companheiro e colega Bill Clinton, dizendo: "Parabéns pelo novo restaurante, Al!" (Risos) Gostamos de festejar os êxitos um do outro. (Risos)	spk.1	pt
ted_1_20	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:12646351:32062	29279	Eu ia falar sobre a ecologia da informação.	spk.1	pt
ted_1_21	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:5621313:207150	170560	Mas, como estou a planear fazer das palestras no TED um hábito para a vida, pensei que talvez pudesse falar sobre isso numa outra ocasião. (Aplausos)	spk.1	pt
ted_1_23	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:8749215:168017	162720	Al Gore: Gostaria de me concentrar no que muitos de vocês disseram que gostariam que eu explicasse. O que podemos fazer em relação à crise climática?	spk.1	pt
ted_1_24	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:15188566:184000	175840	Quero começar com algumas... Vou mostrar-vos algumas novas imagens e recapitular só quatro ou cinco.	spk.1	pt
ted_1_25	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:4671874:20783	18080	São estes os diapositivos.	spk.1	pt
ted_1_26	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:13353912:58708	53760	Atualizo-os antes de cada sessão.	spk.1	pt
ted_1_27	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:216154:71372	64479	E coloco novas imagens porque assim aprendo mais de cada vez que a faço.	spk.1	pt
ted_1_28	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:5854633:28868	25600	É como apanhar conchas na praia.	spk.1	pt
ted_1_29	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:7550221:50480	44000	Sempre que a maré sobe e desce, encontramos mais conchas.	spk.1	pt
ted_1_30	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:3837780:96116	86560	Só nos últimos dois dias, tivemos novos recordes de temperatura em janeiro.	spk.1	pt
ted_1_31	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:12346508:47370	42080	Isto é válido só para os EUA.	spk.1	pt
ted_1_32	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:2028681:108939	100320	A média histórica para janeiro é de -0,6º C. No mês passado foi de 4,2º C.	spk.1	pt
ted_1_33	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:16557361:212513	202240	Sei que querem mais más notícias sobre o meio ambiente - estou a brincar - mas estes são os diapositivos de revisão e vou mostrar-vos novos materiais sobre o que vocês podem fazer.	spk.1	pt
ted_1_34	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:10860783:31378	28640	Mas quero trabalhar sobre alguns destes.	spk.1	pt
ted_1_35	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:287569:112384	101600	Antes de mais, esta era a projeção da contribuição dos EUA para o aquecimento global, com os negócios como sempre.	spk.1	pt
ted_1_36	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:6038595:124530	108800	A eficiência no uso final da eletricidade e de todas as formas de energia é a mais baixa.	spk.1	pt
ted_1_37	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:14699868:85296	71679	A eficiência e a conservação: não é um custo, é um benefício.	spk.1	pt
ted_1_38	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:10952321:42165	36959	O sinal está errado.	spk.1	pt
ted_1_39	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:15471131:36713	32160	Não é negativo, é positivo.	spk.1	pt
ted_1_40	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:1057573:51094	43200	Estes são investimentos que se pagam a si próprios.	spk.1	pt
ted_1_41	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:14785207:68107	60800	Mas também são muito eficazes em nos desviarem do caminho.	spk.1	pt
ted_1_42	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:12975667:119088	101279	Carros e camiões - falei sobre isso na apresentação, mas quero colocá-lo em perspetiva.	spk.1	pt
ted_1_43	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:6760937:211927	196160	É um alvo fácil e visível de preocupação e é assim que deve ser, mas há mais poluição a causar aquecimento proveniente dos edifícios do que de carros e camiões.	spk.1	pt
ted_1_44	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:13412663:87785	79680	Os carros e camiões são muito importantes e nós temos os piores padrões do mundo.	spk.1	pt
ted_1_45	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:13538651:472176	367680	Digo-o sinceramente, em parte, porque... preciso mesmo disso. (Risos) Coloquem-se no meu lugar! (Risos) Voei na Força Aérea Dois durante oito anos. (Risos) Agora tenho que tirar os sapatos ou as botas para entrar num avião! (Risos) (Aplausos)	spk.1	pt
ted_1_46	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:7524602:25576	20800	Temos que tratar disso.	spk.1	pt
ted_1_47	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:2863302:22290	19999	Mas esta é apenas uma parte do quebra-cabeças.	spk.1	pt
ted_1_48	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:4798045:84435	71360	A eficiência de outros meios de transporte é tão importante como a dos carros e camiões.	spk.1	pt
ted_1_49	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:6972907:108473	96000	As energias renováveis, nos atuais níveis de eficiência tecnológica podem fazer a diferença.	spk.1	pt
ted_1_50	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:43:216068	197920	Com Vinod, John Doerr e outros, muitos de vocês aqui, - há muitas pessoas diretamente envolvidas nisso - esta parcela vai crescer muito mais rapidamente do que as projeções preveem.	spk.1	pt
