id	audio	n_frames	tgt_text	speaker	tgt_lang
ted_1096_0	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:2792651:70608	65119	Em Nova Iorque, sou o responsável pelo desenvolvimento de uma organização não-lucrativa, a Robin Hood.	spk.1096	pt
ted_1096_1	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:1375658:80914	82240	Ou estou a combater a pobreza ou a combater incêndios como capitão assistente de um corpo de bombeiros voluntários.	spk.1096	pt
ted_1096_2	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:15034208:131163	129600	Na nossa cidade, onde os voluntaries reforçam um quadro de profissionais altamente qualificados, temos de chegar ao local de incêndio bem cedo para participarmos em qualquer ação.	spk.1096	pt
ted_1096_3	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:15008273:25890	24800	Lembro-me do meu primeiro incêndio.	spk.1096	pt
ted_1096_4	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:3236379:66718	66400	Eu era o segundo voluntário no local, por isso, havia uma boa hipótese de ser chamado a intervir.	spk.1096	pt
ted_1096_5	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:10994531:90159	89120	Mas continuava a ser uma verdadeira corrida com os outros voluntários para chegarmos até ao capitão no comando e descobrirmos as nossas atribuições.	spk.1096	pt
ted_1096_6	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:8917277:132380	137599	Quando encontrei o capitão, ele estava a ter uma conversa muito envolvente com a dona da casa, que estava a ter, certamente, um dos piores dias da sua vida.	spk.1096	pt
ted_1096_7	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:13094800:142349	153440	Estávamos a meio da noite, ela estava de pé, cá fora, à chuva que caía a cântaros, debaixo de um guarda-chuva, em pijama, descalça, enquanto a sua casa ardia em chamas.	spk.1096	pt
ted_1096_8	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:12678458:297166	293440	O outro voluntário que chegou mesmo antes de mim — chamemos-lhe Lex Luther — (Risos) chegou primeiro ao pé do capitão e pediram-lhe que fosse lá dentro para salvar o cão da dona da casa. O cão! Fiquei siderado de inveja.	spk.1096	pt
ted_1096_9	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:8211047:158186	165920	Aqui estava um qualquer advogado ou gerente financeiro que, para o resto da sua vida, podia contar às pessoas que tinha entrado numa casa em chamas para salvar uma criatura viva, apenas por me ter batido em cinco segundos.	spk.1096	pt
