id	audio	n_frames	tgt_text	speaker	tgt_lang
ted_1_0	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:3305660:532077	469600	(Laughter) It was dinnertime, and we started looking for a place to eat. We were on I-40.	spk.1	en
ted_1_1	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:4542638:129193	121280	We got off the exit, we found a Shoney's restaurant. Low-cost family restaurant chain, for those of you who don't know it.	spk.1	en
ted_1_2	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:11300421:151018	133440	We went in and sat down at the booth, and the waitress came over, made a big commotion over Tipper. (Laughter)	spk.1	en
ted_1_3	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:9203991:130740	119040	She took our order, and then went to the couple in the booth next to us, and she lowered her voice so much, I had to really strain to hear what she was saying.	spk.1	en
ted_1_4	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:8448995:124302	124640	And she said "Yes, that's former Vice President Al Gore and his wife, Tipper." And the man said, "He's come down a long way, hasn't he?" (Laughter)	spk.1	en
ted_1_5	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:7975705:235297	187359	There's been kind of a series of epiphanies.	spk.1	en
ted_1_6	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:11084732:215647	199040	The very next day, continuing the totally true story, I got on a G-V to fly to Africa to make a speech in Nigeria, in the city of Lagos, on the topic of energy.	spk.1	en
ted_1_7	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:4692699:105303	98080	And I began the speech by telling them the story of what had just happened the day before in Nashville.	spk.1	en
ted_1_8	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:16219356:151768	137600	And I told it pretty much the same way I've just shared it with you: Tipper and I were driving ourselves, Shoney's, low-cost family restaurant chain, what the man said — they laughed.	spk.1	en
ted_1_9	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:16497574:59744	55839	I gave my speech, then went back out to the airport to fly back home.	spk.1	en
ted_1_10	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:1268257:107356	100000	I fell asleep on the plane until, during the middle of the night, we landed on the Azores Islands for refueling.	spk.1	en
ted_1_11	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:16769917:94308	90240	I woke up, they opened the door, I went out to get some fresh air, and I looked, and there was a man running across the runway.	spk.1	en
ted_1_12	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:10500169:79897	71680	And he was waving a piece of paper, and he was yelling, "Call Washington!	spk.1	en
ted_1_13	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:1456615:109149	108320	Call Washington! "And I thought to myself, in the middle of the night, in the middle of the Atlantic, what in the world could be wrong in Washington?	spk.1	en
ted_1_14	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:14581126:38325	38400	Then I remembered it could be a bunch of things.	spk.1	en
ted_1_15	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:3303140:2478	1760	(Laughter)	spk.1	en
ted_1_16	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:16885936:301874	271519	But what it turned out to be, was that my staff was extremely upset because one of the wire services in Nigeria had already written a story about my speech, and it had already been printed in cities all across the United States of America.	spk.1	en
ted_1_17	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:15165414:23109	21600	It was printed in Monterey, I checked.	spk.1	en
ted_1_18	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:9386764:261694	229280	(Laughter) And the story began, "Former Vice President Al Gore announced in Nigeria yesterday," quote: 'My wife Tipper and I have opened a low-cost family restaurant' "— (Laughter)	spk.1	en
ted_1_19	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:4882523:505110	424159	(Laughter) Three days later, I got a nice, long, handwritten letter from my friend and partner and colleague Bill Clinton, saying, "Congratulations on the new restaurant, Al!" (Laughter)	spk.1	en
ted_1_20	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:12646351:32062	29279	I was going to talk about information ecology.	spk.1	en
ted_1_21	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:5621313:207150	170560	But I was thinking that, since I plan to make a lifelong habit of coming back to TED, that maybe I could talk about that another time. (Applause)	spk.1	en
ted_1_22	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:14295001:4164	3040	Chris Anderson: It's a deal!	spk.1	en
ted_1_23	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:8749215:168017	162720	Al Gore: I want to focus on what many of you have said you would like me to elaborate on: What can you do about the climate crisis?	spk.1	en
ted_1_24	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:15188566:184000	175840	I want to start with a couple of — I'm going to show some new images, and I'm going to recapitulate just four or five.	spk.1	en
ted_1_25	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:4671874:20783	18080	Now, the slide show.	spk.1	en
ted_1_26	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:13353912:58708	53760	I update the slide show every time I give it.	spk.1	en
ted_1_27	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:216154:71372	64479	I add new images, because I learn more about it every time I give it.	spk.1	en
ted_1_28	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:5854633:28868	25600	It's like beach-combing, you know?	spk.1	en
ted_1_29	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:7550221:50480	44000	Every time the tide comes in and out, you find some more shells.	spk.1	en
ted_1_30	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:3837780:96116	86560	Just in the last two days, we got the new temperature records in January.	spk.1	en
ted_1_31	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:12346508:47370	42080	This is just for the United States of America.	spk.1	en
ted_1_32	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:2028681:108939	100320	Historical average for Januarys is 31 degrees; last month was 39.5 degrees.	spk.1	en
ted_1_33	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:16557361:212513	202240	Now, I know that you wanted some more bad news about the environment — I'm kidding. But these are the recapitulation slides, and then I'm going to go into new material about what you can do.	spk.1	en
ted_1_34	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:10860783:31378	28640	But I wanted to elaborate on a couple of these.	spk.1	en
ted_1_35	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:287569:112384	101600	First of all, this is where we're projected to go with the U.S. contribution to global warming, under business as usual.	spk.1	en
ted_1_36	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:6038595:124530	108800	Efficiency in end-use electricity and end-use of all energy is the low-hanging fruit.	spk.1	en
ted_1_37	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:14699868:85296	71679	Efficiency and conservation — it's not a cost; it's a profit.	spk.1	en
ted_1_38	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:10952321:42165	36959	The sign is wrong.	spk.1	en
ted_1_39	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:15471131:36713	32160	It's not negative; it's positive.	spk.1	en
ted_1_40	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:1057573:51094	43200	These are investments that pay for themselves.	spk.1	en
ted_1_41	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:14785207:68107	60800	But they are also very effective in deflecting our path.	spk.1	en
ted_1_42	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:12975667:119088	101279	Cars and trucks — I talked about that in the slideshow, but I want you to put it in perspective.	spk.1	en
ted_1_43	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:6760937:211927	196160	It's an easy, visible target of concern — and it should be — but there is more global warming pollution that comes from buildings than from cars and trucks.	spk.1	en
ted_1_44	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:13412663:87785	79680	Cars and trucks are very significant, and we have the lowest standards in the world.	spk.1	en
ted_1_45	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:13538651:472176	367680	(Laughter) Now I have to take off my shoes or boots to get on an airplane! (Laughter) (Applause)	spk.1	en
ted_1_46	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:7524602:25576	20800	And so we should address that.	spk.1	en
ted_1_47	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:2863302:22290	19999	But it's part of the puzzle.	spk.1	en
ted_1_48	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:4798045:84435	71360	Other transportation efficiency is as important as cars and trucks.	spk.1	en
ted_1_49	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:6972907:108473	96000	Renewables at the current levels of technological efficiency can make this much difference.	spk.1	en
ted_1_50	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:43:216068	197920	And with what Vinod, and John Doerr and others, many of you here — there are a lot of people directly involved in this — this wedge is going to grow much more rapidly than the current projection shows it.	spk.1	en
ted_1_51	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:4045617:324680	303040	Carbon Capture and Sequestration — that's what CCS stands for — is likely to become the killer app that will enable us to continue to use fossil fuels in a way that is safe.	spk.1	en
ted_1_52	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:4370340:66640	68480	Not quite there yet. OK. Now, what can you do?	spk.1	en
ted_1_53	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:10580109:23956	22240	Reduce emissions in your home.	spk.1	en
ted_1_54	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:6691272:69622	64000	Most of these expenditures are also profitable.	spk.1	en
ted_1_55	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:8369276:79677	71520	Insulation, better design. Buy green electricity where you can.	spk.1	en
ted_1_56	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:14853357:154871	151680	I mentioned automobiles — buy a hybrid. Use light rail. Figure out some of the other options that are much better. It's important.	spk.1	en
ted_1_57	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:6366995:324234	314240	Be a green consumer. You have choices with everything you buy, between things that have a harsh effect, or a much less harsh effect on the global climate crisis. Consider this: Make a decision to live a carbon-neutral life.	spk.1	en
ted_1_58	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:1565807:175542	172480	Those of you who are good at branding, I'd love to get your advice and help on how to say this in a way that connects with the most people.	spk.1	en
ted_1_59	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:7081423:443136	426240	It is easier than you think. It really is. A lot of us in here have made that decision, and it is really pretty easy. It means reduce your carbon dioxide emissions with the full range of choices that you make, and then purchase or acquire offsets for the remainder that you have not completely reduced.	spk.1	en
ted_1_60	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:2319787:472819	460800	And it's truly a great honor to have the opportunity to come to this stage twice; I'm extremely grateful. I have been blown away by this conference, and I want to thank all of you for the many nice comments about what I had to say the other night.	spk.1	en
ted_1_61	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:3129013:107321	98880	And what it means is elaborated at climatecrisis.net.	spk.1	en
ted_1_62	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:9872547:49385	43680	There is a carbon calculator.	spk.1	en
ted_1_63	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:7698610:277053	253599	Participant Productions convened — with my active involvement — the leading software writers in the world, on this arcane science of carbon calculation, to construct a consumer-friendly carbon calculator.	spk.1	en
ted_1_64	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:9049700:154249	140000	You can very precisely calculate what your CO2 emissions are, and then you will be given options to reduce.	spk.1	en
ted_1_65	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:1877793:150845	135039	And by the time the movie comes out in May, this will be updated to 2.0, and we will have click-through purchases of offsets.	spk.1	en
ted_1_66	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:672331:56595	48320	Next, consider making your business carbon-neutral.	spk.1	en
ted_1_67	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:965828:62697	54240	Again, some of us have done that, and it's not as hard as you think.	spk.1	en
ted_1_68	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:15745726:473588	452160	Integrate climate solutions into all of your innovations, whether you are from the technology, or entertainment, or design and architecture community. Invest sustainably. Majora mentioned this. Listen, if you have invested money with managers who you compensate on the basis of their annual performance, don't ever again complain about quarterly report CEO management.	spk.1	en
ted_1_69	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:13500491:38117	36480	Over time, people do what you pay them to do.	spk.1	en
ted_1_70	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:6163168:203784	193919	And if they judge how much they're going to get paid on your capital that they've invested, based on the short-term returns, you're going to get short-term decisions.	spk.1	en
ted_1_71	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:1801325:76425	65920	I'll tell you one quick story to illustrate what that's been like for me.	spk.1	en
ted_1_72	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:8699375:49797	56800	A lot more to be said about that.	spk.1	en
ted_1_73	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:783704:33427	27360	Become a catalyst of change.	spk.1	en
ted_1_74	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:5564869:56401	55679	Teach others, learn about it, talk about it.	spk.1	en
ted_1_75	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:14360282:108376	95360	The movie is a movie version of the slideshow I gave two nights ago, except it's a lot more entertaining.	spk.1	en
ted_1_76	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:12310240:36225	31680	And it comes out in May.	spk.1	en
ted_1_77	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:14299208:61031	56000	Many of you here have the opportunity to ensure that a lot of people see it.	spk.1	en
ted_1_78	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:11646361:340997	324960	Consider sending somebody to Nashville. Pick well. And I am personally going to train people to give this slideshow — re-purposed, with some of the personal stories obviously replaced with a generic approach, and it's not just the slides, it's what they mean.	spk.1	en
ted_1_79	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:4500859:25575	22400	And it's how they link together.	spk.1	en
ted_1_80	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:17230034:345477	322720	And so I'm going to be conducting a course this summer for a group of people that are nominated by different folks to come and then give it en masse, in communities all across the country, and we're going to update the slideshow for all of them every single week, to keep it right on the cutting edge.	spk.1	en
ted_1_81	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:10692516:75508	61440	It's a true story — every bit of this is true.	spk.1	en
ted_1_82	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:11987401:322796	281920	Working with Larry Lessig, it will be, somewhere in that process, posted with tools and limited-use copyrights, so that young people can remix it and do it in their own way. (Applause)	spk.1	en
ted_1_83	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:1741392:59890	52160	Where did anybody get the idea that you ought to stay arm's length from politics?	spk.1	en
ted_1_84	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:10191085:77832	70560	It doesn't mean that if you're a Republican, that I'm trying to convince you to be a Democrat.	spk.1	en
ted_1_85	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:5828506:26084	23520	We need Republicans as well.	spk.1	en
